"Source","Name","Value","Commented","Line","Text"
"Boot","ai_lod_auto_enabled","1","True","970","// ai_lod_auto_enabled                       ""1""             // Default 0, idk about this"
"Kaizu","ai_lod_auto_enabled","true","False","788","""ai_lod_auto_enabled"" ""true"" //default 0, idk about this"
"Kaizu","ai_think_interval_lod_med","0.4","False","860","""ai_think_interval_lod_med"" ""0.4"""
"Sqooky","AmbientOcclusionProxies","0","True","197","//AmbientOcclusionProxies                     ""0""         // I believe this is from pidjan, I am unsure of what it does [def: ""?""]"
"TestCfg","AmbientOcclusionProxies","0","False","215","AmbientOcclusionProxies                     ""0""         // In the dll, no default value"
"Boot","Audio","system","True","1086","// Audio system settings"
"Kaizu","Audio","system","True","1033","// Audio system settings"
"Sqooky","Audio","system","True","949","// Audio system settings"
"TestCfg","Audio","system","True","1019","// Audio system settings"
"Sqooky","BindlessSceneObjectDesc","CitadelBindlessDesc","False","428","BindlessSceneObjectDesc                         ""CitadelBindlessDesc"""
"TestCfg","BindlessSceneObjectDesc","CitadelBindlessDesc","False","438","BindlessSceneObjectDesc                         ""CitadelBindlessDesc"""
"Sqooky","CharacterDecals","0","False","476","CharacterDecals                                 ""0"""
"TestCfg","CharacterDecals","0","False","473","CharacterDecals                                 ""0"""
"Kaizu","citadel_camera_parrot_smoothing_rate","0","False","983","""citadel_camera_parrot_smoothing_rate"" ""0""   // Stops the camera from running math to ""smooth"" itself back into place after hitting a wall."
"Kaizu","cl_phys_animated_hierarchy","false","False","941","""cl_phys_animated_hierarchy"" ""false"""
"Sqooky","cl_phys_assume_fixed_tick_interval","false","False","774","cl_phys_assume_fixed_tick_interval          ""false""         // Assume the client uses a fixed tickrate like the server (which may not always be true)actual [def: ""true""]"
"SqookyBase","cl_phys_assume_fixed_tick_interval","false","False","261","cl_phys_assume_fixed_tick_interval          ""false""         // Assume the client uses a fixed tickrate like the server (which may not always be true)actual [def: ""true""]"
"TestCfg","cl_phys_assume_fixed_tick_interval","false","False","796","cl_phys_assume_fixed_tick_interval          ""false""         // Assume the client uses a fixed tickrate like the server (which may not always be true)actual [def: ""true""]"
"Kaizu","cl_skip_update_animations","0","False","938","""cl_skip_update_animations"" ""0"" // Puts neutrals in the ground"
"TestCfg","cl_skip_update_animations","true","True","961","//cl_skip_update_animations true"
"Sqooky","CSMCascadeResolution","0","False","452","CSMCascadeResolution                            ""0""             // [def: ""2048""]"
"TestCfg","CSMCascadeResolution","0","False","472","CSMCascadeResolution                            ""0""             // [def: ""2048""]"
"Sqooky","DefaultShadowTextureHeight","0","False","456","DefaultShadowTextureHeight                      ""0""             // [def: ""6144""]"
"TestCfg","DefaultShadowTextureHeight","0","False","475","DefaultShadowTextureHeight                      ""0""             // [def: ""6144""]"
"Sqooky","DefaultShadowTextureWidth","0","False","455","DefaultShadowTextureWidth                       ""0""             // [def: ""6144""]"
"TestCfg","DefaultShadowTextureWidth","0","False","476","DefaultShadowTextureWidth                       ""0""             // [def: ""6144""]"
"Sqooky","direct_light_shadows","1","False","329","direct_light_shadows                    ""1"""
"TestCfg","direct_light_shadows","1","False","346","direct_light_shadows                    ""1"""
"Sqooky","DisableShadowFullSort","1","False","485","DisableShadowFullSort                           ""1"""
"TestCfg","DisableShadowFullSort","1","False","507","DisableShadowFullSort                           ""1"""
"Sqooky","DynamicShadowResolution","1","False","457","DynamicShadowResolution                         ""1""             // [def: ""1""]"
"TestCfg","DynamicShadowResolution","1","False","479","DynamicShadowResolution                         ""1""             // [def: ""1""]"
"Boot","engine_allow_multiple_simulates_per_frame","false","True","837","// engine_allow_multiple_simulates_per_frame ""false""         // Default false, not sure about this one so dont change it"
"Kaizu","engine_allow_multiple_simulates_per_frame","false","True","784","//""engine_allow_multiple_simulates_per_frame"" ""false"" //default false not sure about this one so dont change it"
"Sqooky","EnvironmentMapCacheSize","16","False","432","EnvironmentMapCacheSize                         ""16"""
"TestCfg","EnvironmentMapCacheSize","16","False","451","EnvironmentMapCacheSize                         ""16"""
"Sqooky","EnvironmentMapCacheSizeTools","300","False","427","EnvironmentMapCacheSizeTools                    ""300""           // Not sure what this does yet                                                                         [def: ""300""]"
"TestCfg","EnvironmentMapCacheSizeTools","300","False","439","EnvironmentMapCacheSizeTools                    ""300""           // Not sure what this does yet                                                                         [def: ""300""]"
"Sqooky","EnvironmentMapRenderSize","4096","False","418","EnvironmentMapRenderSize                        ""4096""          // There does not seem to be any downside to messing with this value so it is currently in experimentation. [def: ""1024""]"
"TestCfg","EnvironmentMapRenderSize","1024","False","445","EnvironmentMapRenderSize                        ""1024""          // There does not seem to be any downside to messing with this value so it is currently in experimentation. [def: ""1024""]"
"Sqooky","FogCachedShadowAtlasHeight","0","False","449","FogCachedShadowAtlasHeight                      ""0""             // [def: ""2048""]"
"TestCfg","FogCachedShadowAtlasHeight","0","False","480","FogCachedShadowAtlasHeight                      ""0""             // [def: ""2048""]"
"Sqooky","FogCachedShadowAtlasWidth","0","False","448","FogCachedShadowAtlasWidth                       ""0""             // [def: ""2048""]"
"TestCfg","FogCachedShadowAtlasWidth","0","False","481","FogCachedShadowAtlasWidth                       ""0""             // [def: ""2048""]"
"Sqooky","FogCachedShadowTileSize","0","False","450","FogCachedShadowTileSize                         ""0""             // [def: ""128""]"
"TestCfg","FogCachedShadowTileSize","0","False","482","FogCachedShadowTileSize                         ""0""             // [def: ""128""]"
"Boot","fs_async_threads","8","True","839","// fs_async_threads                          ""8"""
"Kaizu","fs_async_threads","17","True","839","//""fs_async_threads"" ""17"" //was 8"
"Kaizu","g_ragdoll_maxcount","1","False","848","""g_ragdoll_maxcount"" ""1"""
"TestCfg","GpuImplicitRendererManifest","1","False","564","GpuImplicitRendererManifest             ""1"""
"Sqooky","GpuLightBinner","1","False","447","GpuLightBinner                                  ""1""             // [def: ""1""]"
"TestCfg","GpuLightBinner","1","False","484","GpuLightBinner                                  ""1""             // [def: ""1""]"
"Sqooky","GpuLightBinnerBinEnvMaps","1","False","480","GpuLightBinnerBinEnvMaps                        ""1"""
"TestCfg","GpuLightBinnerBinEnvMaps","1","False","502","GpuLightBinnerBinEnvMaps                        ""1"""
"Sqooky","GpuLightBinnerBinLPVs","1","False","481","GpuLightBinnerBinLPVs                           ""1"""
"TestCfg","GpuLightBinnerBinLPVs","1","False","503","GpuLightBinnerBinLPVs                           ""1"""
"Sqooky","GpuLightBinnerSunLightFastPath","1","False","451","GpuLightBinnerSunLightFastPath                  ""1""             // [def: ""1""]"
"TestCfg","GpuLightBinnerSunLightFastPath","1","False","485","GpuLightBinnerSunLightFastPath                  ""1""             // [def: ""1""]"
"Sqooky","GpuLightBinnerSupportViewModelCascade","1","False","473","GpuLightBinnerSupportViewModelCascade           ""1"""
"TestCfg","GpuLightBinnerSupportViewModelCascade","1","False","486","GpuLightBinnerSupportViewModelCascade           ""1"""
"Sqooky","GrassCastsShadows","0","False","429","GrassCastsShadows                               ""0"""
"TestCfg","GrassCastsShadows","0","False","448","GrassCastsShadows                               ""0"""
"TestCfg","HairShading","false","False","464","HairShading                                     ""false"""
"Kaizu","ik_enable","0","False","927","""ik_enable"" ""0"""
"Sqooky","LayerBatchThresholdFullsort","512","False","463","LayerBatchThresholdFullsort                     ""512""           // [def: ""20""]"
"TestCfg","LayerBatchThresholdFullsort","80","False","488","LayerBatchThresholdFullsort                     ""80""           // [def: ""20""]"
"Kaizu","lb_shadow_texture_height_override","16","False","949","""lb_shadow_texture_height_override"" ""16""         // Shrinks the global shadow atlas to 16 pixels"
"Kaizu","lb_shadow_texture_width_override","16","False","948","""lb_shadow_texture_width_override"" ""16""          // Shrinks the global shadow atlas to 16 pixels"
"Sqooky","LightCookieAllocGranularity","1","False","483","LightCookieAllocGranularity                     ""1"""
"TestCfg","LightCookieAllocGranularity","1","False","505","LightCookieAllocGranularity                     ""1"""
"Sqooky","LightCookieMinAllocSize","0","False","484","LightCookieMinAllocSize                         ""0"""
"TestCfg","LightCookieMinAllocSize","0","False","506","LightCookieMinAllocSize                         ""0"""
"Sqooky","LightmapGutterSize","2","False","348","LightmapGutterSize                          ""2"" // For bicubic filtering"
"TestCfg","LightmapGutterSize","2","False","365","LightmapGutterSize                          ""2"" // For bicubic filtering"
"Kaizu","mat_depthbias_shadowmap","0","False","952","""mat_depthbias_shadowmap"" ""0""                    // Disables shadow depth bias math"
